Grupo,Tipo,Total,Porcentaje
Enfermedad,1) Pudrición de la Raíz,2,2.6
Defecto,Limitación Comercial,22,28.57
Defecto,Bifurcada/Bifurcado,13,16.88
Defecto,Punta Partida,1,1.3
Plaga,Larva de Coleópteros,4,5.19
