Grupo,Tipo,Total,Porcentaje
Enfermedad,1) Pudrición de la Raíz,6,3.8
Defecto,Bifurcada/Bifurcado,14,8.86
Defecto,Limitación Comercial,5,3.16
Defecto,Fragile o Pequeño,1,0.63
Plaga,Larva de Coleópteros,1,0.63
