#,contract_amendment,contract_code,etp_year,harvest_year,land_location,latitude,longitude,planted,planting_obligation,planting_year,region,species,strain,trees_contract,loaded_at,planting_date
77,,US0036,2018,0,,,,1300,,2019,USA,Fortunei,"11, 12, 14",1300,2025-05-12 18:10:54.583611 +00:00,2019-05-01
78,,US0044,2018,0,,,,1100,,2019,USA,Fortunei,,1100,2025-05-12 18:10:54.583611 +00:00,2019-05-01
79,,US0048,2018,0,,,,1100,,2019,USA,Fortunei,,1100,2025-05-12 18:10:54.583611 +00:00,2019-05-01
80,,US0050,2018,2028,,,,1100,,2019,USA,Fortunei,"12, 13, 14",1100,2025-05-12 18:10:54.583611 +00:00,2019-05-01
81,,US0053,2020,0,,,,3300,,2020,USA,Fortunei,"11, 14, 18",3300,2025-05-12 18:10:54.583611 +00:00,2020-05-01
82,,US0066,2020,0,,,,5500,,2020,USA,Fortunei,"11, 12, 13, 14, 18",5500,2025-05-12 18:10:54.583611 +00:00,2020-05-01
83,,US0093,2020,0,,,,280,,2021,USA,Fortunei,"11, 12, 14",280,2025-05-12 18:10:54.583611 +00:00,2021-05-01
84,,US0105,2021,0,,,,330,,2021,USA,Fortunei,"11, 14",330,2025-05-12 18:10:54.583611 +00:00,2021-05-01
85,,US0089,2021,0,,,,1100,,2021,USA,Fortunei,"2, 13",1100,2025-05-12 18:10:54.583611 +00:00,2021-05-01
86,,US0110,2021,2030,,,,1100,,2021,USA,Fortunei,"2, 11",1100,2025-05-12 18:10:54.583611 +00:00,2021-05-01
87,,US0111,2021,2030,,,,1100,,2021,USA,Fortunei,"2, 11",1100,2025-05-12 18:10:54.583611 +00:00,2021-05-01
88,,US0122,2020,0,,,,1100,,2021,USA,Fortunei,"11, 13",1100,2025-05-12 18:10:54.583611 +00:00,2021-05-01
89,,US0125,2020,2030,,,,1650,,2021,USA,Fortunei,"2, 13",1650,2025-05-12 18:10:54.583611 +00:00,2021-05-01
