contractcode,archivo,total_filas
GT0024b,—,90
GT0029,—,165
GT0030,—,124
GT0031a,—,668
GT0033,—,89
GT0034,—,42
GT0035,—,73
GT0036,—,204
GT0037,—,71
GT0038,—,157
GT0040,—,31
GT0044,—,56
GT0045,—,112
