contractcode,archivo,total_filas
MX0022,—,281
MX0026,—,193
MX0027,—,260
MX0028,—,264
MX0029,—,453
MX0030,—,130
MX0031,—,246
MX0032,—,271
MX0033,—,461
MX0035,—,228
MX0036,—,256
MX0037,—,92
