contractcode,archivo,total_filas
GT0001,—,26
GT0014,—,450
GT0018,—,222
GT0029,—,129
GT0030,—,37
GT0031b,—,349
GT0033,—,102
GT0036,—,101
GT0041,—,93
GT0042,—,269
GT0043,—,212
GT0044,—,110
GT0045,—,114
