contractcode,archivo,total_filas
CR0030,—,77
CR0073,—,105
CR0074,—,158
CR0075,—,98
CR0076,—,135
CR0077,—,125
CR0078,—,82
CR0092,—,79
CR0100,—,129
CR0102,—,141
CR0104,—,184
CR0107,—,166
