contractcode,archivo,total_filas
MX0022,—,222
MX0038,—,246
MX0039,—,305
MX0040,—,247
MX0042,—,85
MX0043,—,76
MX0044,—,201
MX0046,—,73
MX0047,—,66
MX0048,—,104
MX0049,—,44
MX0051,—,629
MX0052,—,221
